anime_id,anime_name,genres,type,number_of_episodes,rating,total_views,production_cost,total_box_office
16498,Attack on Titan,"Action, Drama, Fantasy, Mystery",TV,25,84,778095,200000,30.8
101922,Demon Slayer,"Action, Adventure, Drama, Fantasy, Supernatural",TV,26,83,735876,250000,504.5
1535,DEATH NOTE,"Mystery, Psychological, Supernatural, Thriller",TV,37,84,708493,100000,30.0
113415,Jujutsu Kaisen,"Action, Drama, Supernatural",TV,24,85,677899,250000,196.0
21459,My Hero Academia,"Action, Adventure, Comedy",TV,13,77,672551,200000,55.0
11061,Hunter X Hunter,"Action, Adventure, Fantasy",TV,148,89,631894,150000,8.0
21087,One Punch Man,"Action, Comedy, Sci-Fi, Supernatural",TV,12,83,587819,100000,50.0
20605,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Supernatural",TV,12,75,562670,150000,55.0
20958,Attack on Titan Season 2,"Action, Drama, Fantasy, Mystery",TV,12,84,555101,150000,46.0
11757,Sword Art Online,"Action, Adventure, Fantasy, Romance",TV,25,69,550087,150000,38.0
5114,FULLMETAL ALCHEMIST,"Action, Adventure, Drama, Fantasy",TV,64,90,543458,100000,8.0
20,NARUTO,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",TV,220,79,541456,300000,266.8
21,ONE PIECE,"Action, Adventure, Comedy, Drama, Fantasy",TV,1110,88,529904,200000,246.5
21519,Kimi no Na wa.,"Drama, Romance, Supernatural",MOVIE,1,85,527073,250000,382.0
21856,My Hero Academia 2,"Action, Adventure, Comedy",TV,25,79,516690,200000,33.0
99147,Attack on Titan 3,"Action, Drama, Fantasy, Mystery",TV,12,85,516133,150000,46.0
20954,A Silent Voice,"Drama, Romance, Slice of Life",MOVIE,1,88,514607,150000,31.0
101759,The Promised Neverland,"Drama, Fantasy, Horror, Mystery, Psychological, Thriller",TV,12,83,500983,100000,17.7
20755,Assassination Classroom ,"Action, Comedy, Drama, Supernatural",TV,22,79,483186,150000,25.0
110277,Attack on Titan : The Final Season,"Action, Drama, Fantasy, Mystery",TV,16,86,479426,300000,88.0
100166,My Hero Academia 3,"Action, Adventure, Comedy, Drama",TV,25,79,472810,250000,66.0
20665,Your lie in April,"Drama, Music, Romance, Slice of Life",TV,22,84,464688,300000,70.0
21234,Erased,"Drama, Mystery, Psychological, Supernatural, Thriller",TV,12,81,464012,100000,25.0
21507,Mob Psycho 100,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",TV,12,84,463998,250000,10.0
1735,NARUTO: Shippuuden,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",TV,500,81,461080,250000,1001.0
104578,Attack on Titan 3 Part 2,"Action, Drama, Fantasy, Mystery",TV,10,89,456943,200000,70.0
